Nº  da AF,Tipo,Nome do Fornecedor,Filial,A.F. Principal,"Tem
Filha",Fornecedor,Nome da Filial,Comprador,Nome do Comprador,Un. Compr.,"Dados
Repres.","Data da
AF","Dt. Últ.
Receb.","Cond.
Pag.",Unidade,"Desconto
 (R$/%)","Outras
Despesas","Valor Total
Pedido (R$)",ST,Autoriz,Origem,Origem,Dev,"Impressa/
Enviada",Transp. 1,Cond. Pag T1,Frete T1,Transp 2,Cond. Pag. T2,Frete T2,"Fnt.
Recurso","Tipo Frete
Interno","Guia
Importação","Núm.
Contrato","Núm.
Licitação",Multa Atraso,Qtd dias,Ind. Data Base,Autorizador,Moeda,"Data de
Validade","Código
Referência",Val. Tot. Financeiro,Valor Total Integral,"Recebto
Confirmado",Modalidade,Modalidade,XML Gerado,Aceita,Data Aceite,Total Valor Pendente,Total Qtde. Pendente
00003246,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003246,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/21/2022,2/21/2022,00,001,0,0,"455,97",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"455,97","455,97",Não,00000001,Padrão,,S,2/21/2022,0,0
00003247,N,TELEFONICA BRASIL S.A.,015,00003247,N,345,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/21/2022,2/21/2022,00,001,0,0,"1.988,61",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.988,61","1.988,61",Não,00000001,Padrão,,S,2/21/2022,0,0
00003248,N,TELEFONICA BRASIL S.A.,015,00003248,N,345,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/21/2022,2/21/2022,00,001,0,0,"151,2",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"151,2","151,2",Não,00000001,Padrão,,S,2/21/2022,0,0
00003249,N,LIBRA IMÓVEIS E NEGÓCIOS LTDA.,015,00003249,N,9361,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/3/2022,2/28/2022,00,001,0,0,"10.400,23",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"10.400,23","10.400,23",Não,00000001,Padrão,,S,3/3/2022,0,0
00003250,N,GKS SERVICOS PATRIMONIAIS EIRELI,015,00003250,N,10470,C.E.S.A.R - SOROCABA,24,REGIANE C MENDONÇA BANDEIRA,,Não,3/5/2022,2/24/2022,00,001,0,0,"4.385,97",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"4.385,97","4.385,97",Não,00000001,Padrão,,S,3/5/2022,0,0
00003251,N,CLARO S/A,015,00003251,N,1473,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/6/2022,2/26/2022,00,001,0,0,"320,82",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"320,82","320,82",Não,00000001,Padrão,,S,3/6/2022,0,0
00003252,N,EDIFICIO PLANETA OFFICE CENTER,015,00003252,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/6/2022,3/6/2022,00,001,0,0,"680,4",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"680,4","680,4",Não,00000001,Padrão,,S,3/6/2022,0,0
00003253,N,EDIFICIO PLANETA OFFICE CENTER,015,00003253,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/6/2022,3/6/2022,00,001,0,0,"538,19",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"538,19","538,19",Não,00000001,Padrão,,S,3/6/2022,0,0
00003254,N,EDIFICIO PLANETA OFFICE CENTER,015,00003254,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/6/2022,3/6/2022,00,001,0,0,"538,31",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"538,31","538,31",Não,00000001,Padrão,,S,3/6/2022,0,0
00003255,N,EDIFICIO PLANETA OFFICE CENTER,015,00003255,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/6/2022,3/6/2022,00,001,0,0,"538,19",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"538,19","538,19",Não,00000001,Padrão,,S,3/6/2022,0,0
00003256,N,EDIFICIO PLANETA OFFICE CENTER,015,00003256,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/6/2022,3/6/2022,00,001,0,0,"680,4",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"680,4","680,4",Não,00000001,Padrão,,S,3/6/2022,0,0
00003257,N,CENTRO DE EST. E SIST. AVANC. RECIFE,015,00003257,N,2006,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/8/2022,2/28/2022,15,001,0,0,"912,4",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"912,4","912,4",Não,00000001,Padrão,,S,3/8/2022,0,0
00003258,N,BANCO SANTANDER BRASIL (CARTÃO) ,015,00003258,N,5755,C.E.S.A.R - SOROCABA,24,REGIANE C MENDONÇA BANDEIRA,,Não,3/10/2022,3/10/2022,15,001,0,0,"21,5",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"21,5","21,5",Não,00000001,Padrão,,S,3/10/2022,0,0
00003259,N,TELEFONICA BRASIL S.A.,015,00003259,N,345,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/20/2022,3/20/2022,00,001,0,0,"151,2",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"151,2","151,2",Não,00000001,Padrão,,S,3/20/2022,0,0
00003260,N,TELEFONICA BRASIL S.A.,015,00003260,N,345,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/20/2022,3/20/2022,00,001,0,0,"1.988,61",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.988,61","1.988,61",Não,00000001,Padrão,,S,3/20/2022,0,0
00003261,N,LIBRA IMÓVEIS E NEGÓCIOS LTDA.,015,00003261,N,9361,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/20/2022,3/30/2022,00,001,0,0,"10.223,40",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"10.223,40","10.223,40",Não,00000001,Padrão,,S,3/20/2022,0,0
